model,family,params_b,benchmark,strategy,seed,correct,numeric_present,rel_error,elapsed_sec,in_tokens,out_tokens,output
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.124,76,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.106,69,2,Positive.
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.102,76,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.103,66,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.104,78,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.155,71,16,Positive. The sentence expresses a positive sentiment by highlighting the value and impact of performances
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.103,87,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.102,68,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.095,64,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.103,82,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.103,74,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.1,80,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.103,86,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.106,69,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.158,86,16,"Positive. The sentence describes a film that combines elements of art, humor, and"
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.106,74,2,Positive.
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.095,62,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.097,64,2,Positive.
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.102,81,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.104,66,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.152,85,16,The sentiment of the sentence is negative. The reviewer is expressing disappointment and dissatisfaction with
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.103,76,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.153,93,16,The sentiment of the sentence is negative. The speaker is expressing disappointment and concern about
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.095,61,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.16,103,16,The sentiment of the sentence is negative. The sentence criticizes the performances of the
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.098,58,2,Negative.
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.102,79,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.197,65,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.168,95,16,The sentiment of the sentence is negative. The author is criticizing the speaker for their
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.096,58,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.103,68,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.102,85,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.101,77,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.104,86,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.095,62,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.103,79,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.095,59,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.129,75,8,The sentiment of the sentence is negative.
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.103,76,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.103,68,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.106,68,2,Positive.
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.103,89,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.101,88,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.102,68,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.101,70,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.098,61,2,Positive.
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.103,79,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.107,66,2,Positive.
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.103,82,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.104,74,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.153,72,16,"The sentiment of the sentence is negative. The use of the word ""gaud"
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,0,,,0.106,87,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,42,1,,,0.104,84,1,Positive
