model,family,params_b,benchmark,strategy,accuracy_%,ci_lo,ci_hi,sec_per_item,tokens_per_correct,cost_per_1k_usd,accuracy_per_dollar
gemma-2b,Gemma-2,2.0,gsm8k,cot,57.7,52.0,63.1,5.465,681.8,0.0,N/A
gemma-2b,Gemma-2,2.0,gsm8k,few_shot,3.3,1.8,6.0,2.195,6165.8,0.0,N/A
gemma-2b,Gemma-2,2.0,gsm8k,structured,5.3,3.3,8.5,0.97,2041.8,0.0,N/A
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,7.3,4.9,10.9,0.677,1328.8,0.0,N/A
gemma-2b,Gemma-2,2.0,mmlu,cot,37.7,32.4,43.3,4.134,937.1,0.0,N/A
gemma-2b,Gemma-2,2.0,mmlu,few_shot,53.0,47.4,58.6,0.744,541.7,0.0,N/A
gemma-2b,Gemma-2,2.0,mmlu,structured,52.7,47.0,58.2,0.582,273.3,0.0,N/A
gemma-2b,Gemma-2,2.0,mmlu,zero_shot,52.3,46.7,57.9,0.466,254.4,0.0,N/A
gemma-2b,Gemma-2,2.0,sst2,cot,88.7,84.6,91.8,5.974,283.0,0.0,N/A
gemma-2b,Gemma-2,2.0,sst2,few_shot,74.7,69.5,79.3,0.909,151.9,0.0,N/A
gemma-2b,Gemma-2,2.0,sst2,structured,85.7,81.2,89.2,0.757,84.1,0.0,N/A
gemma-2b,Gemma-2,2.0,sst2,zero_shot,88.0,83.8,91.2,0.66,79.3,0.0,N/A
gemma-9b,Gemma-2,9.0,gsm8k,cot,88.0,83.8,91.2,29.361,410.6,0.0,N/A
gemma-9b,Gemma-2,9.0,gsm8k,few_shot,2.3,1.1,4.7,6.475,8808.3,0.0,N/A
gemma-9b,Gemma-2,9.0,gsm8k,structured,23.3,18.9,28.4,1.621,447.0,0.0,N/A
gemma-9b,Gemma-2,9.0,gsm8k,zero_shot,18.0,14.1,22.7,2.248,544.7,0.0,N/A
gemma-9b,Gemma-2,9.0,mmlu,cot,68.3,62.9,73.3,10.628,431.1,0.0,N/A
gemma-9b,Gemma-2,9.0,mmlu,few_shot,68.7,63.2,73.7,2.926,419.6,0.0,N/A
gemma-9b,Gemma-2,9.0,mmlu,structured,70.3,64.9,75.2,1.924,203.3,0.0,N/A
gemma-9b,Gemma-2,9.0,mmlu,zero_shot,70.3,64.9,75.2,1.557,189.7,0.0,N/A
gemma-9b,Gemma-2,9.0,sst2,cot,90.0,86.1,92.9,16.077,243.6,0.0,N/A
gemma-9b,Gemma-2,9.0,sst2,few_shot,87.7,83.5,90.9,3.059,129.4,0.0,N/A
gemma-9b,Gemma-2,9.0,sst2,structured,91.3,87.6,94.0,1.915,74.4,0.0,N/A
gemma-9b,Gemma-2,9.0,sst2,zero_shot,88.3,84.2,91.5,2.151,72.9,0.0,N/A
